model_id,model_version,run_id,content_accuracy_score,content_accuracy_coverage_pct,content_accuracy_success_cases,content_accuracy_expected_cases,naturalness_audio_quality_score,naturalness_audio_quality_coverage_pct,naturalness_audio_quality_success_cases,naturalness_audio_quality_expected_cases,multilingual_dialect_score,multilingual_dialect_coverage_pct,multilingual_dialect_success_cases,multilingual_dialect_expected_cases,speaker_clone_robustness_score,speaker_clone_robustness_coverage_pct,speaker_clone_robustness_success_cases,speaker_clone_robustness_expected_cases,expressive_control_score,expressive_control_coverage_pct,expressive_control_success_cases,expressive_control_expected_cases,complex_paralinguistic_score,complex_paralinguistic_coverage_pct,complex_paralinguistic_success_cases,complex_paralinguistic_expected_cases,longform_stability_score,longform_stability_coverage_pct,longform_stability_success_cases,longform_stability_expected_cases,rtf_efficiency_score,rtf_efficiency_coverage_pct,rtf_efficiency_success_cases,rtf_efficiency_expected_cases,hexagon_score,radar_score,strongest_axis,weakest_axis
mlx_qwen3_tts,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,85.89,100.0,3,3,74.24,100.0,23,23,88.28,100.0,7,7,88.919,100.0,4,4,91.148,100.0,6,6,0.0,0.0,0,0,91.673,100.0,3,3,79.338,100.0,23,23,82.245,82.245,长文本稳定性,复杂文本与副语言能力
mlx_higgs_audio,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,83.453,100.0,3,3,75.242,100.0,32,32,88.564,100.0,8,8,82.15,100.0,9,9,89.956,100.0,6,6,91.68,100.0,3,3,89.025,100.0,3,3,38.798,100.0,32,32,82.128,82.128,复杂文本与副语言能力,RTF 生成效率
mlx_voxcpm2,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,92.553,100.0,3,3,64.237,100.0,36,36,90.919,100.0,10,10,80.824,100.0,9,9,90.78,100.0,9,9,74.349,100.0,2,2,88.349,100.0,3,3,40.742,100.0,36,36,81.725,81.725,内容准确与可懂度,RTF 生成效率
mlx_omnivoice,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,90.807,100.0,3,3,64.877,100.0,30,30,90.368,100.0,9,9,80.044,100.0,9,9,82.665,100.0,5,5,93.791,100.0,1,1,59.027,100.0,3,3,43.808,100.0,30,30,78.981,78.981,复杂文本与副语言能力,RTF 生成效率
mlx_moss_tts,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,59.554,100.0,3,3,74.018,100.0,28,28,91.191,100.0,9,9,81.237,100.0,9,9,76.561,100.0,3,3,95.808,100.0,1,1,89.542,100.0,3,3,52.155,100.0,28,28,75.822,75.822,复杂文本与副语言能力,RTF 生成效率
mlx_ming_omni_tts,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,82.93,100.0,3,3,47.484,100.0,19,19,88.494,100.0,2,2,73.268,100.0,4,4,87.872,100.0,5,5,83.255,100.0,2,2,75.763,100.0,3,3,19.015,100.0,19,19,72.493,72.493,多语种与方言,RTF 生成效率
mlx_scenema_audio,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,78.697,100.0,3,3,61.818,100.0,28,28,78.064,100.0,6,6,78.437,100.0,8,8,76.102,100.0,6,6,81.078,100.0,2,2,70.641,100.0,3,3,10.049,100.0,28,28,72.023,72.023,复杂文本与副语言能力,RTF 生成效率
mlx_dots_tts,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,86.231,100.0,3,3,59.201,100.0,27,27,83.904,100.0,9,9,80.68,100.0,9,9,88.913,100.0,3,3,0.0,0.0,0,0,33.99,100.0,3,3,37.268,100.0,27,27,71.009,71.009,情绪、风格与韵律控制,复杂文本与副语言能力
mlx_zonos2,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,61.155,100.0,3,3,62.47,100.0,26,26,86.72,100.0,8,8,80.541,100.0,9,9,89.927,100.0,3,3,0.0,0.0,0,0,87.479,100.0,3,3,41.028,100.0,26,26,70.38,70.38,情绪、风格与韵律控制,复杂文本与副语言能力
mlx_supertonic,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,97.851,100.0,1,1,76.73,100.0,11,11,93.071,100.0,8,8,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,93.904,100.0,2,2,100.0,100.0,11,11,67.678,67.678,RTF 生成效率,音色克隆与鲁棒性
mlx_indextts2,project_rollup,v02_plus_vieneu_lux_scenema_20260610_091619,56.21,100.0,3,3,55.472,100.0,20,20,91.051,100.0,1,1,84.266,100.0,7,7,80.433,100.0,6,6,0.0,0.0,0,0,77.774,100.0,3,3,7.746,100.0,20,20,66.46,66.46,多语种与方言,复杂文本与副语言能力
